Topics,Tier,Social,News Media
Voice to parliament,Tier 1,38,35
Productivity,Tier 2,175,140
Infrastucture projects,Tier 2,161,174
Housing (Creation of Housing Australia Formally NHFIC),Tier 2,392,307
Health and hospital spending,Tier 1,460,482
Energy costs (Electricty prices),Tier 1,50,39
Disability,Tier 2,198,182
Defence spending (AUKUS),Tier 1,102,117
Cyber security (Data hacks),Tier 2,33,26
Cost of living (Interest rates),Tier 1,753,678
Climate change,Tier 1,187,132
Austerity measures (Paying back the debt),Tier 1,907,613
Aged care,Tier 2,163,135
