Topics,Tier,Social,News Media
Voice to parliament,Tier 1,37,34
Productivity,Tier 2,172,140
Infrastucture projects,Tier 2,161,169
Housing (Creation of Housing Australia Formally NHFIC),Tier 2,384,299
Health and hospital spending,Tier 1,455,474
Energy costs (Electricty prices),Tier 1,50,39
Disability,Tier 2,195,179
Defence spending (AUKUS),Tier 1,100,117
Cyber security (Data hacks),Tier 2,33,26
Cost of living (Interest rates),Tier 1,736,672
Climate change,Tier 1,182,128
Austerity measures (Paying back the debt),Tier 1,886,605
Aged care,Tier 2,163,131
